fouls_home,fouls_away,corners_home,corners_away,crosses_home,crosses_away,touches_home,touches_away,tackles_home,tackles_away,interceptions_home,interceptions_away,aerials_won_home,aerials_won_away,clearances_home,clearances_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,throw_ins_home,throw_ins_away,long_balls_home,long_balls_away,home_team,away_team,home_score,away_score,stadium,state,UF,matchweek,date,time,match_id
16,29,7,7,18,14,490,558,15,13,8,2,24,11,15,15,1,1,2,14,20,15,50,43,Palmeiras,Atl Paranaense,1,0,,,,8,2019-06-08,16:30,70
12,13,11,5,24,22,646,725,11,11,11,11,22,21,22,27,2,1,5,10,18,22,39,64,Cruzeiro,Corinthians,0,0,,,,8,2019-06-08,19:00,71
7,7,10,1,34,9,827,511,19,16,8,14,22,14,15,32,3,0,2,12,25,15,49,47,Grêmio,Fortaleza,1,0,,,,8,2019-06-08,19:00,72
12,10,9,1,32,7,691,489,14,16,13,10,22,30,14,33,1,3,10,15,33,25,48,59,Ceará,Bahia,0,0,,,,8,2019-06-08,19:30,73
17,17,4,10,20,25,523,760,28,16,20,10,20,23,37,18,1,1,10,6,19,30,65,48,Avaí,São Paulo,0,0,,,,8,2019-06-08,21:00,74
12,14,4,5,19,10,729,541,15,11,11,4,13,15,18,12,0,1,5,13,16,23,40,50,Santos,Atlético Mineiro,3,1,,,,8,2019-06-09,19:00,75
20,10,8,2,26,16,488,690,7,5,10,8,17,16,17,22,3,0,8,12,12,17,46,44,CSA,Botafogo (RJ),1,2,,,,8,2019-06-09,19:00,76
14,17,5,2,19,15,798,533,14,17,9,11,8,18,14,25,1,0,8,10,18,20,47,39,Fluminense,Flamengo,0,0,,,,8,2019-06-09,19:00,77
14,17,6,6,27,14,534,544,19,11,4,10,13,17,13,27,0,0,5,12,19,17,51,46,Goiás,Chapecoense,3,1,,,,8,2019-06-10,20:00,78
9,11,4,7,11,18,637,695,22,15,9,11,15,8,16,13,1,4,6,4,17,16,45,41,Botafogo (RJ),Grêmio,0,1,,,,9,2019-06-12,19:15,79
