player,shirt_number,nation,position,minutes,goals,assists,penalty_kicks_made,penalty_kicks_attempted,shots,shots_on_target,yellow_cards,red_cards,fouls_commited,fouls_drawn,offsides,crosses,tackles_on,interceptions,own_goals,penalty_kicks_won,penalty_kicks_conceded,team,match_id
Bruno Fabiano Alves,3.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,,,São Paulo,208
Juanfran,20.0,es ESP,RB,90.0,0,0,0,0,0,0,0,0,3,1,0,1,3,0,0,,,São Paulo,208
Tiago Volpi,23.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,São Paulo,208
Gabriel Barbosa,9.0,br BRA,FW,90.0,0,0,0,0,2,1,1,0,2,0,2,2,0,0,0,,,Flamengo,208
Giorgian De Arrascaeta,14.0,uy URU,AM,90.0,0,0,0,0,2,0,0,0,1,3,0,9,3,5,0,,,Flamengo,208
Everton Ribeiro,7.0,br BRA,AM,90.0,0,0,0,0,2,1,1,0,1,6,0,4,0,1,0,,,Flamengo,208
Bruno Henrique,27.0,br BRA,AM,90.0,0,0,0,0,1,1,0,0,4,1,0,2,0,1,0,,,Flamengo,208
Willian Arão,5.0,br BRA,DM,90.0,0,0,0,0,3,2,0,0,2,2,0,1,4,3,0,,,Flamengo,208
Robert Piris Da Motta,25.0,py PAR,DM,45.0,0,0,0,0,1,0,0,0,3,3,0,0,0,1,0,,,Flamengo,208
Gerson,8.0,br BRA,MF,45.0,0,0,0,0,2,2,0,0,3,5,0,0,1,3,0,,,Flamengo,208
Renê,6.0,br BRA,LB,76.0,0,0,0,0,2,1,0,0,2,0,0,3,0,0,0,,,Flamengo,208
Filipe Luís,16.0,br BRA,DF,14.0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,,,Flamengo,208
Pablo Marí,4.0,es ESP,CB,90.0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,,,Flamengo,208
Rodrigo Caio,3.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,,,Flamengo,208
Rodinei,2.0,br BRA,RB,45.0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,,,Flamengo,208
Rafinha,13.0,br BRA,DF,45.0,0,0,0,0,2,1,1,0,0,0,0,2,1,0,0,,,Flamengo,208
Diego Alves,1.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Flamengo,208
Talles Magno,43.0,br BRA,FW,90.0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,,,Vasco da Gama,209
Ribamar,9.0,br BRA,FW,90.0,0,0,0,0,3,0,0,0,1,1,3,0,1,0,0,,,Vasco da Gama,209
Rossi,7.0,br BRA,FW,70.0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,,,Vasco da Gama,209
Clayton,20.0,br BRA,"FW,MF",20.0,0,0,0,0,3,1,0,0,1,0,0,1,0,0,0,,,Vasco da Gama,209
Marcos Júnior,19.0,br BRA,CM,70.0,0,0,0,0,0,0,0,0,3,1,0,3,0,0,0,,,Vasco da Gama,209
Marquinho,8.0,br BRA,"DF,MF",20.0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,,,Vasco da Gama,209
Bruno Gomes,41.0,br BRA,CM,90.0,0,0,0,0,0,0,1,0,3,3,0,0,4,2,0,,,Vasco da Gama,209
Raul,31.0,br BRA,CM,74.0,0,0,0,0,0,0,1,0,4,3,0,0,3,2,0,,,Vasco da Gama,209
Marrony,38.0,br BRA,FW,16.0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,,,Vasco da Gama,209
Danilo Barcelos,14.0,br BRA,LB,90.0,0,0,0,0,1,0,1,0,4,0,0,8,0,1,0,,,Vasco da Gama,209
Leandro Castán,5.0,br BRA,CB,90.0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,0,,,Vasco da Gama,209
Werley,34.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,,,Vasco da Gama,209
Yago Pikachu,22.0,br BRA,RB,90.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,,,Vasco da Gama,209
Fernando Miguel,1.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Vasco da Gama,209
Mauro Boselli,17.0,ar ARG,FW,84.0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,,,Corinthians,209
Gustavo,19.0,br BRA,FW,6.0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,,,Corinthians,209
Clayson,25.0,br BRA,LW,90.0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,,Corinthians,209
Junior Sornoza,7.0,ec ECU,AM,57.0,0,0,0,0,1,0,0,0,0,2,1,6,0,1,0,,,Corinthians,209
Mateus Vital,22.0,br BRA,MF,33.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,,Corinthians,209
Ramiro Benetti,28.0,br BRA,AM,45.0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,,,Corinthians,209
Jádson,10.0,br BRA,MF,45.0,0,0,0,0,1,1,1,0,2,3,0,2,0,0,0,,,Corinthians,209
Pedrinho,38.0,br BRA,RW,90.0,0,0,0,0,4,2,0,0,1,4,0,6,0,0,0,,,Corinthians,209
Ralf,15.0,br BRA,DM,90.0,1,0,0,0,1,1,0,0,4,2,0,0,2,1,0,,,Corinthians,209
Danilo Avelar,35.0,br BRA,LB,90.0,0,0,0,0,0,0,0,0,1,2,0,2,0,3,0,,,Corinthians,209
Gil,26.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,Corinthians,209
Manoel,4.0,br BRA,CB,90.0,0,0,0,0,1,1,0,0,4,1,0,0,2,1,0,,,Corinthians,209
Fagner,23.0,br BRA,RB,90.0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,,,Corinthians,209
Cássio,12.0,br BRA,GK,90.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,Corinthians,209
Jonathan David Gómez,29.0,ar ARG,FW,73.0,0,0,0,0,1,1,0,0,0,4,0,1,0,1,0,,,CSA,210
Euller,16.0,br BRA,DF,17.0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,,,CSA,210
Ricardo Bueno,9.0,br BRA,FW,90.0,0,0,0,0,1,0,0,0,2,5,1,3,0,0,0,,,CSA,210
Apodi,20.0,br BRA,LW,90.0,0,0,0,0,1,1,0,0,0,2,1,1,2,1,0,,,CSA,210
Héctor Bustamante,18.0,py PAR,RW,90.0,0,0,0,0,1,0,0,0,3,0,0,4,3,1,0,,,CSA,210
João Vitor,7.0,br BRA,CM,90.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,CSA,210
Naldo,5.0,br BRA,CM,90.0,0,0,0,0,1,0,1,0,4,0,0,2,1,0,0,,,CSA,210
Carlinhos,6.0,br BRA,LB,58.0,0,0,0,0,1,0,0,0,1,0,0,2,0,2,0,,,CSA,210
Rafinha,26.0,br BRA,DF,32.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,CSA,210
Luciano Castán,4.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,,CSA,210
Alan Costa,3.0,br BRA,CB,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,CSA,210
Ronaldo Alves,17.0,br BRA,DF,63.0,0,0,0,0,1,0,1,0,1,1,0,0,1,2,0,,,CSA,210
Dawhan,8.0,br BRA,RB,90.0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,,,CSA,210
Jordi Almeida,12.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,CSA,210
Yeferson Soteldo,10.0,ve VEN,FW,90.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,Santos,210
Jean Mota,41.0,br BRA,FW,72.0,0,0,0,0,3,1,0,0,0,0,0,5,0,0,0,,,Santos,210
Derlis González,17.0,py PAR,"FW,MF",18.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Santos,210
Eduardo Sasha,27.0,br BRA,FW,78.0,1,0,0,0,2,1,0,0,0,0,1,0,2,0,0,,,Santos,210
Luis Felipe,2.0,br BRA,DF,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Santos,210
Evandro Goebel,25.0,br BRA,CM,66.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,,,Santos,210
Felipe Jonatan,36.0,br BRA,DF,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Santos,210
Diego Pituca,21.0,br BRA,CM,90.0,0,0,0,0,0,0,0,0,3,1,0,0,2,1,0,,,Santos,210
Carlos Sánchez,7.0,uy URU,CM,90.0,1,0,1,1,3,2,0,0,0,1,0,10,2,2,0,,,Santos,210
Jorge,3.0,br BRA,LB,90.0,0,0,0,0,1,1,0,0,0,3,0,1,4,3,0,,,Santos,210
Gustavo Henrique,6.0,br BRA,CB,90.0,0,0,0,0,3,0,0,0,2,3,0,0,0,2,0,,,Santos,210
Lucas Veríssimo,28.0,br BRA,CB,76.0,0,0,0,0,0,0,2,1,6,0,0,0,0,2,0,,,Santos,210
Victor Ferraz,4.0,br BRA,RB,90.0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,0,,,Santos,210
Éverson,22.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Santos,210
André,90.0,br BRA,FW,90.0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,,,Grêmio,211
Pepê,25.0,br BRA,AM,90.0,0,0,0,0,0,0,0,0,1,1,0,4,0,1,0,,,Grêmio,211
Thaciano,16.0,br BRA,AM,90.0,0,0,0,0,3,2,0,0,1,1,0,0,1,0,0,,,Grêmio,211
Luciano,18.0,br BRA,AM,66.0,0,0,0,0,3,1,1,0,0,1,0,3,1,2,0,,,Grêmio,211
Ferreira,47.0,br BRA,MF,24.0,0,1,0,0,2,0,0,0,1,3,0,2,1,0,0,,,Grêmio,211
Darlan Mendes,37.0,br BRA,DM,55.0,0,0,0,0,3,0,0,0,2,0,0,2,0,1,0,,,Grêmio,211
Patrick,30.0,br BRA,MF,35.0,1,0,0,0,1,1,0,0,0,2,0,0,0,1,0,,,Grêmio,211
