player,shirt_number,nation,position,minutes,goals,assists,penalty_kicks_made,penalty_kicks_attempted,shots,shots_on_target,yellow_cards,red_cards,fouls_commited,fouls_drawn,offsides,crosses,tackles_on,interceptions,own_goals,penalty_kicks_won,penalty_kicks_conceded,team,match_id
Renato,19.0,br BRA,AM,64.0,0,0,0,0,0,0,0,0,0,5,0,4,2,0,0,,,Chapecoense,23
Bruno Silva,29.0,br BRA,FW,26.0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,,,Chapecoense,23
Gustavo Campanharo,10.0,br BRA,DM,39.0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,,,Chapecoense,23
Augusto César Moreira,20.0,br BRA,MF,51.0,0,0,0,0,2,1,0,0,1,1,0,1,0,0,0,,,Chapecoense,23
Márcio Araújo,8.0,br BRA,DM,90.0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,,,Chapecoense,23
Bruno Pacheco,6.0,br BRA,LB,90.0,0,0,0,0,0,0,0,0,0,2,0,2,3,3,0,,,Chapecoense,23
Douglas,23.0,br BRA,CB,90.0,0,0,0,0,1,0,1,0,5,0,0,0,0,1,0,,,Chapecoense,23
Gum,3.0,br BRA,CB,90.0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,,,Chapecoense,23
Eduardo,2.0,br BRA,RB,90.0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,,,Chapecoense,23
Tiepo,98.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Chapecoense,23
Eduardo Sasha,27.0,br BRA,FW,72.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,Santos,24
Derlis González,17.0,py PAR,"FW,MF",18.0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,,,Santos,24
Christian Cueva,8.0,pe PER,FW,57.0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,,Santos,24
Yeferson Soteldo,10.0,ve VEN,"FW,MF",33.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,Santos,24
Rodrygo,11.0,br BRA,FW,90.0,0,0,0,0,5,3,0,0,1,2,1,5,1,0,0,,,Santos,24
Jorge,3.0,br BRA,LM,90.0,0,0,0,0,1,1,1,0,1,2,0,7,1,0,0,,,Santos,24
Diego Pituca,21.0,br BRA,CM,90.0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,,,Santos,24
Jean Lucas,30.0,br BRA,CM,90.0,0,0,0,0,1,1,0,0,1,2,0,6,1,0,0,,,Santos,24
Victor Ferraz,4.0,br BRA,RM,90.0,0,0,0,0,1,0,0,0,0,3,0,1,1,1,0,,,Santos,24
Gustavo Henrique,6.0,br BRA,CB,90.0,0,0,0,0,1,1,1,0,2,0,0,0,1,1,0,,,Santos,24
Felipe Aguilar,26.0,co COL,CB,90.0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,,,Santos,24
Lucas Veríssimo,28.0,br BRA,CB,60.0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,,,Santos,24
Jean Mota,41.0,br BRA,"DF,MF",30.0,0,0,0,0,2,1,0,0,1,0,0,4,1,0,0,,,Santos,24
Vanderlei,1.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,Santos,24
Cassiano,20.0,br BRA,FW,90.0,0,0,0,0,2,0,0,0,2,2,0,1,3,0,0,,,CSA,24
Matheus Sávio,10.0,br BRA,AM,90.0,0,0,0,0,1,0,0,0,1,3,1,2,1,0,0,,,CSA,24
Madson,7.0,br BRA,AM,90.0,0,0,0,0,1,0,0,0,0,3,0,6,0,1,0,,,CSA,24
Didira,19.0,br BRA,AM,90.0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,,,CSA,24
Naldo,5.0,br BRA,DM,75.0,0,0,0,0,1,0,0,0,4,0,0,0,4,1,0,,,CSA,24
Victor Paraíba,16.0,br BRA,MF,15.0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,,,CSA,24
Bruno Ramires,30.0,br BRA,DM,35.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,,,CSA,24
Dawhan,8.0,br BRA,MF,55.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,,,CSA,24
Carlinhos,6.0,br BRA,LB,66.0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,,,CSA,24
Pablo Armero,27.0,co COL,"DF,MF",24.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,,CSA,24
Luciano Castán,4.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,,,CSA,24
Gerson,13.0,br BRA,CB,90.0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,,,CSA,24
Apodi,2.0,br BRA,RB,90.0,0,0,0,0,2,1,0,0,1,1,0,0,2,0,0,,,CSA,24
Jordi Almeida,12.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,CSA,24
Júnior Santos,9.0,br BRA,FW,90.0,0,0,0,0,5,0,0,0,2,1,0,0,2,0,0,,,Fortaleza,25
Wellington Paulista,99.0,br BRA,FW,90.0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,,,Fortaleza,25
Osvaldo,11.0,br BRA,LM,62.0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,,,Fortaleza,25
Marcinho,17.0,br BRA,MF,28.0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,,,Fortaleza,25
Juninho,55.0,br BRA,CM,90.0,0,0,0,0,1,0,1,0,3,1,0,5,2,0,0,,,Fortaleza,25
Felipe Araruna,22.0,br BRA,CM,75.0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,,,Fortaleza,25
Dodô,10.0,br BRA,MF,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Fortaleza,25
Romarinho,20.0,br BRA,RM,62.0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,,Fortaleza,25
Edinho,7.0,br BRA,MF,28.0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,,,Fortaleza,25
Carlinhos,6.0,br BRA,LB,90.0,0,0,0,0,0,0,0,0,0,3,0,2,1,4,0,,,Fortaleza,25
Nathan Otávio Ribeiro,4.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,,,Fortaleza,25
Juan Quintero,3.0,co COL,CB,90.0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,,,Fortaleza,25
Guilherme Tinga,2.0,br BRA,RB,90.0,0,0,0,0,1,0,0,0,1,0,0,4,1,1,0,,,Fortaleza,25
Felipe Alves Raymundo,12.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,Fortaleza,25
Diego Souza,7.0,br BRA,FW,90.0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,,,Botafogo (RJ),25
Erik Lima,11.0,br BRA,LW,86.0,0,0,0,0,4,3,0,0,1,1,0,1,2,1,0,,,Botafogo (RJ),25
Yuri,19.0,br BRA,DF,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Botafogo (RJ),25
João Paulo Mior,10.0,br BRA,AM,90.0,0,0,0,0,2,0,0,0,1,1,0,7,1,1,0,,,Botafogo (RJ),25
Cícero Santos,8.0,br BRA,AM,90.0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,,,Botafogo (RJ),25
Rodrigo Pimpão,9.0,br BRA,RW,90.0,0,0,0,0,1,0,0,0,3,0,0,3,3,0,0,,,Botafogo (RJ),25
Gustavo Bochecha,5.0,br BRA,DM,57.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,Botafogo (RJ),25
Alex Santana,16.0,br BRA,MF,33.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,,,Botafogo (RJ),25
Gilson,6.0,br BRA,LB,90.0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,0,,,Botafogo (RJ),25
Gabriel,2.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,,,Botafogo (RJ),25
Joel Carli,3.0,ar ARG,CB,90.0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,,,Botafogo (RJ),25
Fernando,4.0,br BRA,RB,57.0,0,0,0,0,0,0,0,0,3,2,0,1,3,0,0,,,Botafogo (RJ),25
Marcinho,13.0,br BRA,DF,33.0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,,,Botafogo (RJ),25
Gatito Fernández,1.0,py PAR,GK,90.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Botafogo (RJ),25
Kayke Rodrigues,77.0,br BRA,FW,83.0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,,,Goiás,26
Júnior Brandão,9.0,br BRA,FW,7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,Goiás,26
Michael,11.0,br BRA,AM,90.0,1,0,0,0,3,1,0,0,0,2,1,2,0,0,0,,,Goiás,26
Giovanni Augusto,89.0,br BRA,AM,73.0,0,0,0,0,1,1,2,1,2,4,0,2,0,1,0,,,Goiás,26
Renatinho,7.0,br BRA,MF,17.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,,,Goiás,26
Leandro Barcia,30.0,uy URU,AM,73.0,0,0,0,0,2,1,0,0,1,0,0,0,0,3,0,,,Goiás,26
Marlone,10.0,br BRA,MF,17.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,Goiás,26
Léo Sena,20.0,br BRA,DM,90.0,0,0,0,0,0,0,0,0,1,4,0,2,1,4,0,,,Goiás,26
Geovane,5.0,br BRA,DM,90.0,0,0,0,0,1,0,0,0,3,0,0,0,2,2,0,,,Goiás,26
Jefferson,13.0,br BRA,LB,90.0,0,0,0,0,1,1,0,0,0,0,0,6,2,1,0,,,Goiás,26
Yago,33.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,Goiás,26
David Duarte,3.0,br BRA,CB,90.0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,,,Goiás,26
Daniel Guedes,15.0,br BRA,RB,90.0,0,0,0,0,1,1,0,0,3,2,0,4,1,1,0,,,Goiás,26
Tadeu,23.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Goiás,26
Yago,6.0,br BRA,MF,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,Goiás,26
Fred,9.0,br BRA,FW,90.0,0,0,0,0,3,1,0,0,1,1,1,0,0,0,0,,,Cruzeiro,26
Pedro Rocha Neves,32.0,br BRA,AM,67.0,0,1,0,0,1,0,0,0,0,2,0,5,1,0,0,,,Cruzeiro,26
David,11.0,br BRA,"FW,MF",23.0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,,,Cruzeiro,26
Rodriguinho Marinho,23.0,br BRA,AM,90.0,1,0,0,0,3,1,1,0,1,0,0,1,1,0,0,,,Cruzeiro,26
Robinho,19.0,br BRA,AM,67.0,0,0,0,0,1,0,0,0,3,0,0,10,1,0,0,,,Cruzeiro,26
Thiago Neves,10.0,br BRA,MF,23.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,,,Cruzeiro,26
Lucas Silva,16.0,br BRA,DM,90.0,0,0,0,0,4,2,0,0,0,1,0,1,2,1,0,,,Cruzeiro,26
Henrique Pacheco Lima,8.0,br BRA,DM,90.0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,,,Cruzeiro,26
Egídio Pereira Júnior,6.0,br BRA,LB,90.0,0,1,0,0,3,1,0,0,0,1,0,8,1,2,0,,,Cruzeiro,26
Léo,3.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,,,Cruzeiro,26
Dedé,26.0,br BRA,CB,90.0,1,0,0,0,2,1,0,0,0,1,0,0,1,0,0,,,Cruzeiro,26
Luis Manuel Orejuela,28.0,co COL,RB,74.0,0,0,0,0,1,1,0,0,3,1,0,5,1,0,0,,,Cruzeiro,26
Jadson,27.0,br BRA,MF,16.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,Cruzeiro,26
Fábio,1.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Cruzeiro,26
Lincoln,29.0,br BRA,FW,70.0,0,0,0,0,2,0,1,0,1,4,1,0,0,0,0,,,Flamengo,27
Bruno Henrique,27.0,br BRA,"FW,MF",20.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,Flamengo,27
Diego,10.0,br BRA,LW,90.0,0,0,0,0,2,0,1,0,3,3,0,0,2,0,0,,,Flamengo,27
Hugo Moura,17.0,br BRA,AM,90.0,0,1,0,0,1,0,0,0,1,0,0,0,1,3,0,,,Flamengo,27
Ronaldo,16.0,br BRA,AM,90.0,0,0,0,0,1,0,1,0,5,1,0,0,2,0,0,,,Flamengo,27
Orlando Berrío,28.0,co COL,RW,44.0,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,,,Flamengo,27
Lucas Silva,23.0,br BRA,FW,46.0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,,,Flamengo,27
Robert Piris Da Motta,25.0,py PAR,DM,90.0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,,,Flamengo,27
Miguel Trauco,13.0,pe PER,LB,90.0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,,,Flamengo,27
Dantas,55.0,br BRA,CB,63.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,Flamengo,27
Rafael Santos,58.0,br BRA,DF,27.0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,,,Flamengo,27
Thuler,26.0,br BRA,CB,90.0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,,Flamengo,27
Rodinei,2.0,br BRA,RB,90.0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,,,Flamengo,27
César,37.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Flamengo,27
Jonas,44.0,br BRA,FW,90.0,0,0,0,0,1,0,0,0,1,2,0,4,1,0,0,,,São Paulo,27
Alexandre Pato,7.0,br BRA,FW,30.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,São Paulo,27
Éverton,22.0,br BRA,MF,60.0,0,0,0,0,2,2,0,0,1,0,0,4,0,0,0,,,São Paulo,27
Antony,39.0,br BRA,FW,90.0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,,,São Paulo,27
Liziero,14.0,br BRA,CM,90.0,0,0,0,0,3,1,0,0,2,1,0,0,2,2,0,,,São Paulo,27
Hudson,25.0,br BRA,CM,90.0,0,0,0,0,1,0,0,0,1,2,0,4,1,0,0,,,São Paulo,27
Tchê Tchê,28.0,br BRA,CM,90.0,1,0,0,0,6,3,0,0,2,2,0,2,1,1,0,,,São Paulo,27
Reinaldo,6.0,br BRA,LB,76.0,0,0,0,0,0,0,0,0,2,1,0,5,0,0,0,,,São Paulo,27
Helio Junio,11.0,br BRA,MF,14.0,0,0,0,0,1,0,0,0,2,1,0,1,1,0,0,,,São Paulo,27
Anderson Martins,4.0,br BRA,CB,40.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,São Paulo,27
Hernanes,15.0,br BRA,MF,50.0,0,0,0,0,5,4,0,0,0,2,0,3,0,0,0,,,São Paulo,27
Bruno Fabiano Alves,3.0,br BRA,CB,90.0,0,0,0,0,2,1,0,0,4,0,0,0,2,2,0,,,São Paulo,27
Walce Costa,43.0,br BRA,RB,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,São Paulo,27
Tiago Volpi,23.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,São Paulo,27
Luciano,18.0,br BRA,FW,80.0,1,1,0,0,3,2,0,0,1,0,0,1,1,1,0,,,Fluminense,28
Igor Julião,21.0,br BRA,DF,10.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,Fluminense,28
Guilherme,28.0,br BRA,LW,65.0,0,0,0,0,0,0,1,0,2,0,0,7,0,0,0,,,Fluminense,28
Pedro,9.0,br BRA,FW,25.0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,,,Fluminense,28
Allan,29.0,br BRA,AM,90.0,0,0,0,0,2,1,0,0,1,0,0,4,3,1,0,,,Fluminense,28
Bruno Silva,8.0,br BRA,AM,90.0,0,0,0,0,2,1,0,0,2,0,0,0,5,0,0,,,Fluminense,28
Yony González,11.0,co COL,RW,90.0,2,0,0,0,5,3,0,0,0,3,0,2,0,0,0,,,Fluminense,28
Airton,5.0,br BRA,DM,45.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,Fluminense,28
Daniel,20.0,br BRA,MF,45.0,0,0,0,0,1,1,0,0,2,2,0,2,1,0,0,,,Fluminense,28
Caio Henrique Oliveira Silva,19.0,br BRA,LB,90.0,0,0,0,0,0,0,0,0,1,1,0,3,0,2,0,,,Fluminense,28
Matheus Ferraz,3.0,br BRA,CB,90.0,1,0,0,0,3,3,0,0,0,1,0,0,1,1,0,,,Fluminense,28
Nino,33.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,Fluminense,28
Gilberto,2.0,br BRA,RB,90.0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,,,Fluminense,28
Rodolfo de Melo,39.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Fluminense,28
André,90.0,br BRA,FW,90.0,1,1,0,0,3,1,0,0,0,1,0,0,0,0,0,,,Grêmio,28
Everton Soares,11.0,br BRA,AM,90.0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,,,Grêmio,28
Jean Pyerre,21.0,br BRA,AM,59.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,Grêmio,28
Luan Vieira,7.0,br BRA,"FW,MF",31.0,0,1,0,0,2,1,0,0,0,0,0,3,0,0,0,,,Grêmio,28
Alisson,23.0,br BRA,AM,61.0,0,1,0,0,1,1,0,0,1,1,0,3,0,0,0,,,Grêmio,28
Marinho,30.0,br BRA,"FW,MF",29.0,0,0,0,0,2,1,0,0,1,2,0,0,1,2,0,,,Grêmio,28
Maicon Souza,8.0,br BRA,DM,80.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,,,Grêmio,28
Felipe Vizeu,10.0,br BRA,FW,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,Grêmio,28
Matheus Henrique,14.0,br BRA,DM,90.0,0,0,0,0,0,0,1,0,1,1,0,1,3,3,0,,,Grêmio,28
Bruno Cortez,12.0,br BRA,LB,90.0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,,,Grêmio,28
Walter Kannemann,4.0,ar ARG,CB,90.0,1,0,0,0,1,1,1,0,4,0,0,0,0,1,0,,,Grêmio,28
Michel,5.0,br BRA,CB,90.0,0,0,0,0,1,0,0,0,1,0,0,0,3,3,0,,,Grêmio,28
Léo Moura,2.0,br BRA,RB,90.0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,,,Grêmio,28
Júlio César,22.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Grêmio,28
Getúlio,99.0,br BRA,FW,90.0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,,,Avaí,29
Daniel Amorim,28.0,br BRA,FW,90.0,0,0,0,0,3,1,0,0,1,4,0,0,0,0,0,,,Avaí,29
Luanderson,16.0,br BRA,CM,45.0,0,0,0,0,2,0,0,0,2,4,0,0,0,3,0,,,Avaí,29
Feliciano Brizuela,11.0,py PAR,FW,26.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,Avaí,29
Matheus Ferreira,29.0,br BRA,FW,19.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,Avaí,29
Pedro Castro,7.0,br BRA,CM,90.0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,0,,,Avaí,29
João Paulo,19.0,br BRA,CM,90.0,0,0,0,0,1,0,0,0,4,3,0,5,1,1,0,,,Avaí,29
Paulinho Oliveira,6.0,br BRA,LB,90.0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,,,Avaí,29
Marquinhos,33.0,br BRA,CB,90.0,0,0,0,0,1,0,0,0,1,1,0,0,2,2,0,,,Avaí,29
Betão,3.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,,,Avaí,29
Eduardo Kunde,63.0,br BRA,CB,45.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,,,Avaí,29
Luan Pereira,21.0,br BRA,MF,45.0,0,0,0,0,0,0,1,0,2,2,0,0,2,2,0,,,Avaí,29
Iury,22.0,br BRA,RB,90.0,0,0,0,0,0,0,1,0,2,2,0,6,1,2,0,,,Avaí,29
Vladimir,89.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Avaí,29
Gilberto,9.0,br BRA,FW,90.0,0,0,0,0,5,2,0,0,1,0,0,0,2,0,0,,,Bahia,29
Artur,98.0,br BRA,AM,83.0,1,0,0,0,4,4,0,0,1,1,0,11,1,1,0,,,Bahia,29
Elton,17.0,br BRA,MF,7.0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,,,Bahia,29
Arthur,77.0,br BRA,AM,27.0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,,,Bahia,29
Rogério,90.0,br BRA,"FW,MF",63.0,0,0,0,0,2,1,0,0,4,2,0,1,1,1,0,,,Bahia,29
Eric Ramires,10.0,br BRA,AM,68.0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,,,Bahia,29
Shaylon,27.0,br BRA,MF,22.0,0,0,0,0,1,0,0,0,1,2,0,2,1,0,0,,,Bahia,29
Douglas,18.0,br BRA,DM,90.0,0,0,0,0,2,1,0,0,6,4,0,1,2,1,0,,,Bahia,29
Gregore de Magalhães da Silva,26.0,br BRA,DM,90.0,0,0,0,0,1,0,0,0,4,1,0,0,1,2,0,,,Bahia,29
Paulinho,16.0,br BRA,LB,90.0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,0,,,Bahia,29
Lucas Fonseca,28.0,br BRA,CB,90.0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,,,Bahia,29
Ernando,14.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,Bahia,29
Nino Paraíba,2.0,br BRA,RB,90.0,0,0,0,0,3,1,1,0,5,2,0,3,2,3,0,,,Bahia,29
Douglas Friedrich,1.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Bahia,29
Diego Souza,7.0,br BRA,FW,90.0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,,,Botafogo (RJ),30
Rodrigo Pimpão,9.0,br BRA,LW,45.0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,,,Botafogo (RJ),30
Yuri,16.0,br BRA,DF,45.0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,,,Botafogo (RJ),30
Alex Santana,10.0,br BRA,AM,85.0,1,0,0,0,2,1,0,0,1,1,0,0,1,0,0,,,Botafogo (RJ),30
Rickson,21.0,br BRA,MF,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Botafogo (RJ),30
Cícero Santos,8.0,br BRA,AM,90.0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,,,Botafogo (RJ),30
Erik Lima,11.0,br BRA,RW,77.0,0,0,0,0,2,0,1,0,1,4,2,0,1,0,0,,,Botafogo (RJ),30
Leonardo Valencia,20.0,cl CHI,MF,13.0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,,,Botafogo (RJ),30
Gustavo Bochecha,5.0,br BRA,DM,90.0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,,,Botafogo (RJ),30
Jonathan,6.0,br BRA,LB,90.0,0,1,0,0,0,0,1,0,0,1,0,3,0,0,0,,,Botafogo (RJ),30
Gabriel,2.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,,,Botafogo (RJ),30
Joel Carli,3.0,ar ARG,CB,90.0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,,,Botafogo (RJ),30
Fernando,4.0,br BRA,RB,90.0,0,0,0,0,0,0,0,0,2,0,0,1,3,1,0,,,Botafogo (RJ),30
Gatito Fernández,1.0,py PAR,GK,90.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,Botafogo (RJ),30
Pedro,9.0,br BRA,FW,90.0,0,0,0,0,3,1,0,0,0,1,2,1,0,0,0,,,Fluminense,30
Yony González,11.0,co COL,AM,90.0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,,,Fluminense,30
Ganso,10.0,br BRA,AM,90.0,0,0,0,0,2,0,0,0,1,1,0,1,1,0,0,,,Fluminense,30
Luciano,18.0,br BRA,AM,90.0,0,0,0,0,4,1,1,0,2,0,1,1,0,1,0,,,Fluminense,30
Daniel,20.0,br BRA,DM,76.0,0,0,0,0,2,1,1,0,0,1,0,7,1,0,0,,,Fluminense,30
Léo Artur,17.0,br BRA,"FW,MF",14.0,0,0,0,0,2,2,0,0,0,0,0,3,0,0,0,,,Fluminense,30
Allan,29.0,br BRA,DM,90.0,0,0,0,0,2,0,1,0,1,1,0,0,1,1,0,,,Fluminense,30
Caio Henrique Oliveira Silva,19.0,br BRA,LB,90.0,0,0,0,0,2,1,0,0,5,2,0,9,1,0,0,,,Fluminense,30
Matheus Ferraz,3.0,br BRA,CB,90.0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,0,,,Fluminense,30
Nino,33.0,br BRA,CB,88.0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,,,Fluminense,30
Kelvin,22.0,br BRA,"FW,MF",2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Fluminense,30
Gilberto,2.0,br BRA,RB,90.0,0,0,0,0,3,0,0,0,3,1,0,7,2,1,0,,,Fluminense,30
Rodolfo de Melo,39.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Fluminense,30
André,90.0,br BRA,FW,78.0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,,,Grêmio,31
Felipe Vizeu,10.0,br BRA,FW,12.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,Grêmio,31
Everton Soares,11.0,br BRA,AM,90.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,,,Grêmio,31
Luan Vieira,7.0,br BRA,AM,82.0,0,0,0,0,3,1,0,0,1,3,0,3,0,1,0,,,Grêmio,31
Pepê,25.0,br BRA,"FW,MF",8.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,,Grêmio,31
Walter Montoya,20.0,ar ARG,AM,60.0,0,0,0,0,1,0,0,0,1,2,0,2,0,0,0,,,Grêmio,31
Thaciano,16.0,br BRA,MF,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,Grêmio,31
Matheus Henrique,14.0,br BRA,DM,90.0,0,0,0,0,0,0,0,0,2,1,0,1,1,3,0,,,Grêmio,31
Michel,5.0,br BRA,DM,90.0,0,0,0,0,1,1,1,0,5,0,0,0,3,1,0,,,Grêmio,31
Juninho Capixaba,29.0,br BRA,LB,90.0,0,0,0,0,0,0,1,0,4,1,0,5,4,1,0,,,Grêmio,31
Walter Kannemann,4.0,ar ARG,CB,90.0,0,0,0,0,0,0,1,0,2,1,0,0,5,1,0,,,Grêmio,31
