player,nation,minutes,shots_on_target,goals_againts,saves,save%,team,match_id
Fernando Miguel,br BRA,90.0,0,1,0,,Vasco da Gama,100
Wilson,br BRA,90.0,3,0,3,1.0,Coritiba,100
João Paulo,br BRA,90.0,0,0,0,,Santos,101
Gatito Fernández,py PAR,90.0,6,0,6,1.0,Botafogo (RJ),101
Muriel Becker,br BRA,90.0,2,1,2,1.0,Fluminense,102
Luan Polli,br BRA,90.0,5,0,5,1.0,Sport Recife,102
Cássio,br BRA,90.0,1,1,1,1.0,Corinthians,103
Luan Polli,br BRA,90.0,2,0,2,1.0,Sport Recife,103
Douglas Friedrich,br BRA,90.0,4,1,3,0.75,Bahia,104
Santos,br BRA,90.0,2,0,3,1.0,Atl Paranaense,104
Tiago Volpi,br BRA,90.0,1,1,0,0.0,São Paulo,105
Marcelo Lomba,br BRA,90.0,6,1,5,0.833,Internacional,105
Paulo Victor Vidotti,br BRA,90.0,6,3,3,0.5,Grêmio,106
Éverson,br BRA,90.0,4,1,3,0.75,Atlético Mineiro,106
Júlio César,br BRA,90.0,1,1,0,0.0,Bragantino,107
Fernando Miguel,br BRA,90.0,1,1,1,0.0,Vasco da Gama,107
Hugo Souza,br BRA,90.0,7,1,6,0.857,Flamengo,108
Wéverton,br BRA,90.0,4,1,3,0.75,Palmeiras,108
Diego Cavalieri,br BRA,90.0,2,1,1,0.5,Botafogo (RJ),109
Jean,br BRA,90.0,4,1,4,1.0,Atl Goianiense,109
Tadeu,br BRA,90.0,5,2,3,0.6,Goiás,110
Fernando Prass,br BRA,90.0,7,2,5,0.7140000000000001,Ceará,110
Felipe Alves Raymundo,br BRA,90.0,6,1,5,0.833,Fortaleza,111
João Paulo,br BRA,90.0,3,1,2,0.667,Santos,111
Wilson,br BRA,90.0,6,4,3,0.5,Coritiba,112
Muriel Becker,br BRA,90.0,1,0,1,1.0,Fluminense,112
Jean,br BRA,90.0,4,0,4,1.0,Atl Goianiense,113
Cássio,br BRA,90.0,5,0,5,1.0,Corinthians,113
Douglas Friedrich,br BRA,90.0,2,1,1,0.5,Bahia,114
Diego Cavalieri,br BRA,90.0,4,2,2,0.5,Botafogo (RJ),114
Marcelo Lomba,br BRA,90.0,5,1,4,0.8,Internacional,115
Vanderlei,br BRA,90.0,1,1,1,1.0,Grêmio,115
Fernando Prass,br BRA,90.0,11,2,9,0.818,Ceará,116
Wéverton,br BRA,90.0,7,1,6,0.857,Palmeiras,116
Cássio,br BRA,90.0,2,0,2,1.0,Corinthians,117
Júlio César,br BRA,90.0,4,0,4,1.0,Bragantino,117
Muriel Becker,br BRA,90.0,6,1,5,0.833,Fluminense,118
Diego Cavalieri,br BRA,90.0,6,1,5,0.833,Botafogo (RJ),118
Santos,br BRA,90.0,6,3,4,0.667,Atl Paranaense,119
Hugo Souza,br BRA,90.0,3,1,2,0.667,Flamengo,119
Tiago Volpi,br BRA,90.0,1,1,0,0.0,São Paulo,120
Wilson,br BRA,90.0,4,1,4,1.0,Coritiba,120
Luan Polli,br BRA,90.0,11,1,10,0.909,Sport Recife,121
Douglas Friedrich,br BRA,90.0,1,2,0,0.0,Bahia,121
Jean,br BRA,90.0,5,1,4,0.8,Atl Goianiense,122
Felipe Alves Raymundo,br BRA,90.0,2,0,2,1.0,Fortaleza,122
