Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
12.0,Sun,2020-09-27,16:00,Palmeiras,1–1,Flamengo,,Allianz Parque,Jean Pierre Goncalves Lima,Match Report,
12.0,Sun,2020-09-27,18:15,Atl Goianiense,1–1,Botafogo (RJ),,Estádio Olímpico Pedro Ludovico Teixeira,Leandro Pedro Vuaden,Match Report,
12.0,Sun,2020-09-27,18:15,Ceará,2–2,Goiás,,Estádio Castelão,Ramon Abatti Abel,Match Report,
12.0,Sun,2020-09-27,20:30,Santos,1–1,Fortaleza,,Estádio Urbano Caldeira,Heber Roberto Lopes,Match Report,
12.0,Mon,2020-09-28,20:00,Fluminense,4–0,Coritiba,,Estadio Jornalista Mário Filho,Vinicius Gonçalves Dias Araujo,Match Report,
,,,,,,,,,,,
1.0,Wed,2020-09-30,21:30,Corinthians,0–0,Atl Goianiense,,Arena Corinthians,Paulo Roberto Alves Júnior,Match Report,
1.0,Wed,2020-09-30,21:30,Botafogo (RJ),1–2,Bahia,,Estádio Nilton Santos,Savio Pereira,Match Report,
,,,,,,,,,,,
13.0,Sat,2020-10-03,17:00,Grêmio,1–1,Internacional,,Arena do Grêmio,Raphael Claus,Match Report,
13.0,Sat,2020-10-03,19:00,Palmeiras,2–1,Ceará,,Allianz Parque,Bruno Arleu de Araujo,Match Report,
13.0,Sat,2020-10-03,21:00,Bragantino,0–0,Corinthians,,Estádio Nabi Abi Chedid,Edina Alves Batista,Match Report,
13.0,Sun,2020-10-04,11:00,Botafogo (RJ),1–1,Fluminense,,Estádio Nilton Santos,Anderson Daronco,Match Report,
13.0,Sun,2020-10-04,16:00,Flamengo,3–1,Atl Paranaense,,Estadio Jornalista Mário Filho,Rodrigo D'Alonso Ferreira,Match Report,
13.0,Sun,2020-10-04,16:00,Coritiba,1–1,São Paulo,,Estádio Major Antônio Couto Pereira,Wagner do Nascimento Magalhaes,Match Report,
13.0,Sun,2020-10-04,18:15,Bahia,1–2,Sport Recife,,Estádio Governador Roberto Santos,Rafael Traci,Match Report,
13.0,Sun,2020-10-04,18:15,Fortaleza,0–0,Atl Goianiense,,Estádio Castelão,Jose Mendonca da Silva Junior,Match Report,
13.0,Sun,2020-10-04,18:15,Goiás,2–3,Santos,,Estádio de Hailé Pinheiro,Marielson Alves Silva,Match Report,
13.0,Sun,2020-10-04,20:30,Atlético Mineiro,4–1,Vasco da Gama,,Estádio Raimundo Sampaio,Leandro Pedro Vuaden,Match Report,
,,,,,,,,,,,
14.0,Wed,2020-10-07,19:00,Corinthians,1–1,Santos,,Arena Corinthians,Marcelo de Lima Henrique,Match Report,
14.0,Wed,2020-10-07,19:15,Bahia,3–0,Vasco da Gama,,Estádio Governador Roberto Santos,Jean Pierre Goncalves Lima,Match Report,
14.0,Wed,2020-10-07,19:15,Flamengo,3–0,Sport Recife,,Estadio Jornalista Mário Filho,Caio Max Augusto Vieira,Match Report,
14.0,Wed,2020-10-07,19:15,Grêmio,2–1,Coritiba,,Arena do Grêmio,Ramon Abatti Abel,Match Report,
14.0,Wed,2020-10-07,20:30,São Paulo,3–0,Atl Goianiense,,Estádio do Morumbi,Dyorgines José Padovani Andrade,Match Report,
14.0,Wed,2020-10-07,20:30,Goiás,2–4,Fluminense,,Estádio de Hailé Pinheiro,Luiz Flávio de Oliveira,Match Report,
14.0,Wed,2020-10-07,21:30,Fortaleza,2–1,Atlético Mineiro,,Estádio Castelão,Savio Pereira,Match Report,
14.0,Wed,2020-10-07,21:30,Botafogo (RJ),2–1,Palmeiras,,Estádio Nilton Santos,Rodolpho Toski Marques,Match Report,
14.0,Thu,2020-10-08,19:00,Atl Paranaense,0–0,Ceará,,Estádio Joaquim Américo Guimarães,Wilton Sampaio,Match Report,
14.0,Thu,2020-10-08,21:00,Bragantino,0–2,Internacional,,Estádio Nabi Abi Chedid,Felipe Fernandes de Lima,Match Report,
,,,,,,,,,,,
15.0,Sat,2020-10-10,17:00,Vasco da Gama,,Flamengo,,Estádio Club de Regatas Vasco da Gama,,,
15.0,Sat,2020-10-10,19:00,Coritiba,,Fortaleza,,Estádio Major Antônio Couto Pereira,,,
15.0,Sat,2020-10-10,19:00,Palmeiras,,São Paulo,,Allianz Parque,,,
15.0,Sat,2020-10-10,21:00,Atlético Mineiro,,Goiás,,Estádio Raimundo Sampaio,,,
15.0,Sun,2020-10-11,16:00,Fluminense,,Bahia,,Estadio Jornalista Mário Filho,,,
15.0,Sun,2020-10-11,16:00,Santos,,Grêmio,,Estádio Urbano Caldeira,,,
15.0,Sun,2020-10-11,18:15,Sport Recife,,Botafogo (RJ),,Estádio Adelmar da Costa Carvalho,,,
15.0,Sun,2020-10-11,18:15,Atl Goianiense,,Bragantino,,Estádio Olímpico Pedro Ludovico Teixeira,,,
15.0,Sun,2020-10-11,20:30,Ceará,,Corinthians,,Estádio Castelão,,,
15.0,Sun,2020-10-11,20:30,Internacional,,Atl Paranaense,,Estádio José Pinheiro Borba,,,
,,,,,,,,,,,
11.0,Tue,2020-10-13,18:00,Flamengo,,Goiás,,Estadio Jornalista Mário Filho,,,
,,,,,,,,,,,
